title,index_show,badge,follow,play,score,is_finish,media_id,cover
JOJO的奇妙冒险 不灭钻石,全39话,会员专享,26.3万人追番,700.7万次播放,9.9分,1,140552,http://i0.hdslb.com/bfs/bangumi/6a04c87e990ab74cd8d555ef45a863de0993b161.png
ReLIFE 完结篇,全4话,免费观看,30.5万人追番,218.7万次播放,9.9分,1,79372,http://i0.hdslb.com/bfs/bangumi/9eb80f010c1c45a298fae09d970d422eeab79f70.jpg
JOJO的奇妙冒险 黄金之风,更新至第10话,会员抢先,108.3万人追番,1828.1万次播放,9.9分,0,135652,http://i0.hdslb.com/bfs/bangumi/f34ff3975c39913af936c133ae60a5891babba08.png
剧场版 中二病也要谈恋爱！ -Take On Me-,全1话,会员专享,27.2万人追番,136.7万次播放,9.9分,1,115632,http://i0.hdslb.com/bfs/bangumi/0e6d5571659719b0ce20c601052573344aa19630.png
妖精森林的小不点,全13话,免费观看,76.7万人追番,1026.2万次播放,9.9分,1,11672,http://i0.hdslb.com/bfs/bangumi/6283ab61cda2525f87a9481a4db5c9e10debd892.jpg
哆啦A梦 大雄的新魔界大冒险之7个魔法师,全1话,免费观看,1.6万人追番,9万次播放,9.8分,1,3869,http://i0.hdslb.com/bfs/bangumi/ae162849f63cae61c9944488adf18163985682e7.jpg
全职猎人,全92话,免费观看,35.5万人追番,974.7万次播放,9.8分,1,877,http://i0.hdslb.com/bfs/bangumi/10d63b650e4b033e305f67dac47f3d0df0b94623.jpg
乌龙派出所,全341话,免费观看,4万人追番,973.3万次播放,9.8分,1,2299,http://i0.hdslb.com/bfs/bangumi/c02477a49f73826512b0ef06124c2841cfcd7e20.jpg
比宇宙更远的地方,全13话,免费观看,79.5万人追番,967.3万次播放,9.8分,1,13032,http://i0.hdslb.com/bfs/bangumi/c9eca3cbc386c63b27461074b8b218898cb7440e.jpg
我的英雄学院 第三季,全25话,会员抢先,197.3万人追番,8878.1万次播放,9.8分,1,78552,http://i0.hdslb.com/bfs/bangumi/1ae7312cddb0cd5cf3eb985904f0a9cb85f897aa.png
哆啦A梦,全2577话,免费观看,25.4万人追番,796.9万次播放,9.8分,1,6009,http://i0.hdslb.com/bfs/bangumi/2f247a4d959d5a23364b7903b20793efd7122e41.jpg
飞翔的魔女,全12话,免费观看,8.9万人追番,76万次播放,9.8分,1,98632,http://i0.hdslb.com/bfs/bangumi/5c50bd19edae3b9a5e0d82524dacc09326ac71ac.jpg
CLANNAD ～AFTER STORY～,全24话,免费观看,45万人追番,76.3万次播放,9.8分,1,1178,http://i0.hdslb.com/bfs/bangumi/54003a09e72f0daf2ac4bc69f5e4b08e4d016667.jpg
灰色的迷宫,全1话,免费观看,7.1万人追番,72.2万次播放,9.8分,1,100712,http://i0.hdslb.com/bfs/bangumi/a599316158da7ee95beabbec0d88860707982990.jpg
王牌投手 振臂高挥,全26话,免费观看,4.5万人追番,7.7万次播放,9.8分,1,1015,http://i0.hdslb.com/bfs/bangumi/6d20b92d10a00f9b00e248f99561a4c71c2d506a.jpg
3月的狮子 第二季,全22话,免费观看,37.2万人追番,691.2万次播放,9.8分,1,6445,http://i0.hdslb.com/bfs/bangumi/14cf90e4ea9a05cda2bc3e5ffcb54ab3a839da84.jpg
樱兰高校男公关部,全26话,免费观看,45.3万人追番,671.3万次播放,9.8分,1,1407,http://i0.hdslb.com/bfs/bangumi/dcf71901090b00760010d33bee4627d600867bb9.jpg
黑执事,全24话,免费观看,58.9万人追番,632.8万次播放,9.8分,1,67712,http://i0.hdslb.com/sp/4e/4e963edf82cb7388bf79f6a82237afcd.jpg
全金属狂潮 Invisible Victory,全12话,会员专享,44.2万人追番,615.4万次播放,9.8分,1,78432,http://i0.hdslb.com/bfs/bangumi/ab71198bb514e978e49101c5b0075abc8f628a0f.jpg
NEKOPARA EXTRA 小猫篇（猫娘乐园）,全1话,免费观看,9.4万人追番,59万次播放,9.8分,1,119312,http://i0.hdslb.com/bfs/bangumi/ed3262e5dddb8747d83632ddec093db1342e5c60.jpg
高智能方程式：SAGA,全8话,免费观看,7645人追番,59.9万次播放,9.8分,1,3810,http://i0.hdslb.com/bfs/bangumi/319d8aa095f978c5aeba597dba69e7af5448e93c.jpg
精灵宝可梦 无印,全271话,免费观看,15.4万人追番,589.6万次播放,9.8分,1,5761,http://i0.hdslb.com/bfs/bangumi/297063889e7836facea595b63eb6330f51904a24.jpg
少女☆歌剧 Revue Starlight,全12话,免费观看,28.5万人追番,580.2万次播放,9.8分,1,102892,http://i0.hdslb.com/bfs/bangumi/e5b3fca7ea7ef660caa810924c44518513636f9d.jpg
头文字D First Stage,全26话,免费观看,15.5万人追番,572.3万次播放,9.8分,1,207,http://i0.hdslb.com/bfs/bangumi/092f0e5ca021d362c6816c52a3a54db841a394ff.jpg
怪化猫,全12话,免费观看,63.1万人追番,565万次播放,9.8分,1,2654,http://i0.hdslb.com/bfs/bangumi/8acc4ecf3638f34ca336ffbaec278457a27cff40.jpg
东京教父,全1话,免费观看,9.8万人追番,56.9万次播放,9.8分,1,2597,http://i0.hdslb.com/bfs/bangumi/85992826bc6c729ad992acd6ac871ae551cae133.jpg
玉响～毕业写真～,全4话,免费观看,3.2万人追番,50.8万次播放,9.8分,1,2800,http://i0.hdslb.com/bfs/bangumi/a36ad952d3e9c890b66be0358c12484fb0d44228.jpg
一起一起这里那里,全13话,免费观看,39.6万人追番,50.5万次播放,9.8分,1,782,http://i0.hdslb.com/bfs/bangumi/6de861925c772076a747844427bf49c252a8accf.jpg
HELLSING OVA,全10话,免费观看,17.2万人追番,464.3万次播放,9.8分,1,2131,http://i0.hdslb.com/bfs/bangumi/d37a93b931268bd9d4c61cd25d4f09fa066ca9fe.jpg
狼的孩子雨和雪,全1话,免费观看,15.3万人追番,46.1万次播放,9.8分,1,2923,http://i0.hdslb.com/bfs/bangumi/9a5a77a8d6fbc446666593f38625a7519a4886b3.jpg
×××HOLiC·笼 徒梦,全1话,免费观看,2.6万人追番,442.8万次播放,9.8分,1,3395,http://i0.hdslb.com/bfs/bangumi/02ee1696661fe3214c10219f35e146916453d206.jpg
